start_date,day_of_week,hour_of_day,member_casual,rideable_type,total_rides,avg_duration
2020-04-01,Wednesday,0,casual,docked_bike,2,22.10
2020-04-01,Wednesday,0,member,docked_bike,8,7.23
2020-04-01,Wednesday,1,member,docked_bike,2,7.14
2020-04-01,Wednesday,2,casual,docked_bike,1,31.47
2020-04-01,Wednesday,2,member,docked_bike,1,13.12
2020-04-01,Wednesday,3,casual,docked_bike,2,21.92
2020-04-01,Wednesday,3,member,docked_bike,2,12.94
2020-04-01,Wednesday,4,member,docked_bike,4,8.02
2020-04-01,Wednesday,5,casual,docked_bike,1,29.73
2020-04-01,Wednesday,5,member,docked_bike,18,14.66
2020-04-01,Wednesday,6,casual,docked_bike,2,30.52
2020-04-01,Wednesday,6,member,docked_bike,69,23.13
2020-04-01,Wednesday,7,casual,docked_bike,7,14.81
2020-04-01,Wednesday,7,member,docked_bike,81,13.30
2020-04-01,Wednesday,8,casual,docked_bike,6,16.91
2020-04-01,Wednesday,8,member,docked_bike,108,15.36
2020-04-01,Wednesday,9,casual,docked_bike,8,10.75
2020-04-01,Wednesday,9,member,docked_bike,55,14.48
2020-04-01,Wednesday,10,casual,docked_bike,14,54.48
2020-04-01,Wednesday,10,member,docked_bike,61,14.17
2020-04-01,Wednesday,11,casual,docked_bike,13,24.42
2020-04-01,Wednesday,11,member,docked_bike,95,20.72
2020-04-01,Wednesday,12,casual,docked_bike,33,29.81
2020-04-01,Wednesday,12,member,docked_bike,103,16.48
2020-04-01,Wednesday,13,casual,docked_bike,22,28.68
2020-04-01,Wednesday,13,member,docked_bike,110,15.50
2020-04-01,Wednesday,14,casual,docked_bike,34,28.33
2020-04-01,Wednesday,14,member,docked_bike,124,15.48
2020-04-01,Wednesday,15,casual,docked_bike,41,27.43
2020-04-01,Wednesday,15,member,docked_bike,163,16.08
2020-04-01,Wednesday,16,casual,docked_bike,45,105.62
2020-04-01,Wednesday,16,member,docked_bike,209,16.88
2020-04-01,Wednesday,17,casual,docked_bike,71,33.63
2020-04-01,Wednesday,17,member,docked_bike,259,17.69
2020-04-01,Wednesday,18,casual,docked_bike,47,32.06
2020-04-01,Wednesday,18,member,docked_bike,201,16.77
2020-04-01,Wednesday,19,casual,docked_bike,18,27.08
2020-04-01,Wednesday,19,member,docked_bike,102,15.87
2020-04-01,Wednesday,20,casual,docked_bike,10,19.39
2020-04-01,Wednesday,20,member,docked_bike,53,28.08
2020-04-01,Wednesday,21,casual,docked_bike,9,26.21
2020-04-01,Wednesday,21,member,docked_bike,15,12.92
2020-04-01,Wednesday,22,casual,docked_bike,5,14.73
2020-04-01,Wednesday,22,member,docked_bike,9,10.35
2020-04-01,Wednesday,23,casual,docked_bike,5,22.41
2020-04-01,Wednesday,23,member,docked_bike,11,9.16
2020-04-02,Thursday ,0,casual,docked_bike,1,14.97
2020-04-02,Thursday ,0,member,docked_bike,4,8.06
2020-04-02,Thursday ,1,member,docked_bike,1,15.60
2020-04-02,Thursday ,2,casual,docked_bike,1,9.53
2020-04-02,Thursday ,2,member,docked_bike,1,13.53
2020-04-02,Thursday ,3,casual,docked_bike,1,12.87
2020-04-02,Thursday ,3,member,docked_bike,2,11.30
2020-04-02,Thursday ,4,member,docked_bike,7,5.33
2020-04-02,Thursday ,5,casual,docked_bike,1,39.63
2020-04-02,Thursday ,5,member,docked_bike,15,12.25
2020-04-02,Thursday ,6,casual,docked_bike,7,25.38
2020-04-02,Thursday ,6,member,docked_bike,59,625.19
2020-04-02,Thursday ,7,casual,docked_bike,9,23.78
2020-04-02,Thursday ,7,member,docked_bike,84,13.08
2020-04-02,Thursday ,8,casual,docked_bike,12,172.86
2020-04-02,Thursday ,8,member,docked_bike,97,15.28
2020-04-02,Thursday ,9,casual,docked_bike,13,25.88
2020-04-02,Thursday ,9,member,docked_bike,70,17.70
2020-04-02,Thursday ,10,casual,docked_bike,18,79.67
2020-04-02,Thursday ,10,member,docked_bike,82,20.73
2020-04-02,Thursday ,11,casual,docked_bike,35,33.11
2020-04-02,Thursday ,11,member,docked_bike,102,17.05
2020-04-02,Thursday ,12,casual,docked_bike,40,73.86
2020-04-02,Thursday ,12,member,docked_bike,126,18.99
2020-04-02,Thursday ,13,casual,docked_bike,35,32.30
2020-04-02,Thursday ,13,member,docked_bike,138,16.37
2020-04-02,Thursday ,14,casual,docked_bike,57,44.27
2020-04-02,Thursday ,14,member,docked_bike,141,17.46
2020-04-02,Thursday ,15,casual,docked_bike,57,491.39
2020-04-02,Thursday ,15,member,docked_bike,170,33.62
2020-04-02,Thursday ,16,casual,docked_bike,68,38.89
2020-04-02,Thursday ,16,member,docked_bike,239,16.60
2020-04-02,Thursday ,17,casual,docked_bike,85,87.34
2020-04-02,Thursday ,17,member,docked_bike,252,18.10
2020-04-02,Thursday ,18,casual,docked_bike,48,25.73
2020-04-02,Thursday ,18,member,docked_bike,216,17.57
2020-04-02,Thursday ,19,casual,docked_bike,29,38.10
2020-04-02,Thursday ,19,member,docked_bike,120,15.27
2020-04-02,Thursday ,20,casual,docked_bike,7,43.18
2020-04-02,Thursday ,20,member,docked_bike,55,15.50
2020-04-02,Thursday ,21,casual,docked_bike,7,20.87
2020-04-02,Thursday ,21,member,docked_bike,20,14.59
2020-04-02,Thursday ,22,casual,docked_bike,11,34.47
2020-04-02,Thursday ,22,member,docked_bike,13,14.63
2020-04-02,Thursday ,23,casual,docked_bike,6,53.44
2020-04-02,Thursday ,23,member,docked_bike,8,14.04
2020-04-03,Friday   ,0,casual,docked_bike,1,5.42
2020-04-03,Friday   ,0,member,docked_bike,4,10.54
2020-04-03,Friday   ,1,casual,docked_bike,2,24.19
2020-04-03,Friday   ,1,member,docked_bike,2,27.69
2020-04-03,Friday   ,2,member,docked_bike,2,19.84
2020-04-03,Friday   ,3,casual,docked_bike,2,70.14
2020-04-03,Friday   ,3,member,docked_bike,2,12.61
2020-04-03,Friday   ,4,member,docked_bike,2,7.17
2020-04-03,Friday   ,5,casual,docked_bike,3,48.00
2020-04-03,Friday   ,5,member,docked_bike,18,14.13
2020-04-03,Friday   ,6,casual,docked_bike,3,24.33
2020-04-03,Friday   ,6,member,docked_bike,74,15.08
2020-04-03,Friday   ,7,casual,docked_bike,15,22.38
2020-04-03,Friday   ,7,member,docked_bike,94,20.41
2020-04-03,Friday   ,8,casual,docked_bike,14,65.53
2020-04-03,Friday   ,8,member,docked_bike,114,15.59
2020-04-03,Friday   ,9,casual,docked_bike,17,31.57
2020-04-03,Friday   ,9,member,docked_bike,68,13.77
2020-04-03,Friday   ,10,casual,docked_bike,18,48.28
2020-04-03,Friday   ,10,member,docked_bike,70,15.31
2020-04-03,Friday   ,11,casual,docked_bike,34,32.06
2020-04-03,Friday   ,11,member,docked_bike,86,22.10
2020-04-03,Friday   ,12,casual,docked_bike,68,36.02
2020-04-03,Friday   ,12,member,docked_bike,153,18.44
2020-04-03,Friday   ,13,casual,docked_bike,69,66.59
2020-04-03,Friday   ,13,member,docked_bike,197,18.21
2020-04-03,Friday   ,14,casual,docked_bike,74,60.17
2020-04-03,Friday   ,14,member,docked_bike,187,19.82
2020-04-03,Friday   ,15,casual,docked_bike,117,64.46
2020-04-03,Friday   ,15,member,docked_bike,214,17.99
2020-04-03,Friday   ,16,casual,docked_bike,138,454.16
2020-04-03,Friday   ,16,member,docked_bike,315,20.52
2020-04-03,Friday   ,17,casual,docked_bike,146,90.72
2020-04-03,Friday   ,17,member,docked_bike,339,26.39
2020-04-03,Friday   ,18,casual,docked_bike,123,34.25
2020-04-03,Friday   ,18,member,docked_bike,285,39.43
2020-04-03,Friday   ,19,casual,docked_bike,50,32.97
2020-04-03,Friday   ,19,member,docked_bike,161,23.84
2020-04-03,Friday   ,20,casual,docked_bike,25,41.16
2020-04-03,Friday   ,20,member,docked_bike,74,15.07
2020-04-03,Friday   ,21,casual,docked_bike,17,81.78
2020-04-03,Friday   ,21,member,docked_bike,39,14.12
2020-04-03,Friday   ,22,casual,docked_bike,15,2156.29
2020-04-03,Friday   ,22,member,docked_bike,16,16.79
2020-04-03,Friday   ,23,casual,docked_bike,3,14800.38
2020-04-03,Friday   ,23,member,docked_bike,22,11.18
2020-04-04,Saturday ,0,casual,docked_bike,13,65.12
2020-04-04,Saturday ,0,member,docked_bike,12,13.91
2020-04-04,Saturday ,1,casual,docked_bike,6,29.31
